age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,plausibility_score
38,Private,198884,HS-grad,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,11.490865707397461
45,Self-emp-not-inc,198380,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,15.2214937210083
41,Private,218696,HS-grad,10,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,>50K,16.90508270263672
38,Private,185313,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,13.506111145019531
46,Private,181410,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,10.423823356628418
41,Local-gov,209746,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,>50K,20.548433303833008
37,Private,178173,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,12.01162052154541
38,Private,219135,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,34.994205474853516
37,Private,181680,Assoc-acdm,12,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,>50K,14.965075492858887
46,Self-emp-inc,178291,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K,16.102462768554688
51,Federal-gov,192181,Some-college,10,Divorced,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K,21.113346099853516
37,Private,194422,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,11.387686729431152
42,Private,233690,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,12.18327522277832
38,Private,178764,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K,13.038347244262695
37,Private,187542,HS-grad,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,11.293611526489258
37,Self-emp-not-inc,184809,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,13.450303077697754
